"ID","word","total"
1557,"harder",20
1558,"hip",20
1559,"its",20
1560,"joke",20
1561,"knockin",20
1562,"list",20
1563,"loaded",20
1564,"mac",20
1565,"main",20
1566,"mistakes",20
1567,"mother",20
1568,"pa'l",20
1569,"patience",20
1570,"piece",20
1571,"pink",20
1572,"planet",20
1573,"plus",20
1574,"pool",20
1575,"pressure",20
1576,"radio",20
1577,"rappers",20
1578,"rat",20
1579,"rica",20
1580,"socks",20
1581,"stage",20
1582,"standin",20
1583,"state",20
1584,"traffic",20
1585,"ugh",20
1586,"voice",20
1587,"weather",20
1588,"wife",20
1589,"1",19
1590,"20",19
1591,"7",19
1592,"album",19
1593,"amor",19
1594,"askin",19
1595,"asking",19
1596,"baguettes",19
1597,"barbie",19
1598,"birthday",19
1599,"bomb",19
1600,"bougie",19
1601,"ching",19
1602,"concern",19
1603,"contigo",19
1604,"cops",19
1605,"costa",19
1606,"cousin",19
1607,"crushed",19
1608,"don",19
1609,"dry",19
1610,"energy",19
1611,"expensive",19
1612,"fade",19
1613,"fallen",19
1614,"fashion",19
1615,"father",19
1616,"feed",19
1617,"fighting",19
1618,"flood",19
1619,"forbes",19
1620,"freedom",19
1621,"god's",19
1622,"history",19
1623,"hits",19
1624,"hometown",19
1625,"hour",19
1626,"hustle",19
1627,"icy",19
1628,"lead",19
1629,"legs",19
1630,"monday",19
1631,"mr",19
1632,"neon",19
1633,"paranoid",19
1634,"pew",19
1635,"pourin",19
1636,"rare",19
1637,"relate",19
1638,"remind",19
1639,"roads",19
1640,"rubber",19
1641,"rules",19
1642,"selling",19
1643,"shady",19
1644,"short",19
1645,"shouldn't",19
1646,"sleepin",19
1647,"slick",19
1648,"starin",19
1649,"stories",19
1650,"stranger",19
